Índice	Link	Data	Título	Primeiro Parágrafo	Temática	Região	Estado	Município
1	https://operacaocovid19.defesa.gov.br/noticias/noticia/740	21/03/2020	Militares da Marinha atuam na retirada de passageiros de navio de cruzeiro em Recife	Como parte da Operação Covid-19 do Ministério da Defesa, a Marinha atuou, neste sábado (21), na retirada de passageiros de um navio de cruzeiro retido em Recife (PE), desde que um passageiro foi atestado com Covid-19. Militares especializados em Defesa Biológica, Nuclear, Química e Radiológica (DBNQR) foram empregados na missão.	Apoio Logístico	Nordeste	PE	Recife
1071	https://operacaocovid19.defesa.gov.br/noticias/noticia/1810	20/01/2021	FAB atinge 200 horas voadas no Transporte Aéreo Logístico em apoio a Manaus
	A Força Aérea Brasileira (FAB) está dedicando permanentemente o esforço do seu efetivo e de suas aeronaves, 24 horas por dia e sete dias por semana, em atendimento às necessidades de enfrentamento à pandemia da COVID-19. As últimas ações da FAB envolveram transporte de pacientes, oxigênio e insumos e, desde sábado, 16 de janeiro, a FAB iniciou o empregou da aeronave C-105 Amazonas. Até o momento, a Força Aérea já realizou 220 horas de voo e transportou mais de 180 toneladas para Manaus (AM). Confira as últimas missões:
 
	Apoio Logístico		Norte	AM	Manaus
1072	https://operacaocovid19.defesa.gov.br/noticias/noticia/1811	20/01/2021	Ala 1, em Brasília (DF), torna-se hub para fornecimento de oxigênio para Manaus
	A partir deste domingo (17), a Força Aérea Brasileira (FAB) realizará o transporte dos tanques de oxigênio líquido a partir da Ala 1, em Brasília (DF), promovendo, desta forma, maior agilidade no cumprimento das missões, com menor tempo de resposta e aumento da capacidade de transporte dos tanques nas aeronaves. Para tanto, a White Martins, empresa que abastece de oxigênio a cidade de Manaus (AM) neste momento de pandemia, transferiu o seu hub, ou seja, o centro de distribuição dos tanques de oxigênio líquido de Guarulhos (SP) para a capital federal.  	Apoio Logístico		Norte	AM	Manaus
1073	https://operacaocovid19.defesa.gov.br/noticias/noticia/1812	20/01/2021	FAB realiza transporte de vacinas para diversas cidades brasileiras
	Com a aprovação do uso emergencial, no Brasil, das vacinas para o combate à COVID-19, a Força Aérea Brasileira (FAB) empregará diversas aeronaves para a distribuição dos imunizantes, a partir desta segunda-feira (18). O primeiro dia de distribuição contará com, pelo menos, nove voos para cidades diferentes. 
 
	Vacinação		Norte	AM	Manaus
1074	https://operacaocovid19.defesa.gov.br/noticias/noticia/1813	20/01/2021	FAB já entregou vacinas nos estados do AM, CE, GO, MS, PI, SC e DF
 	A Força Aérea Brasileira (FAB) empregou, nesta segunda-feira (18), diversas aeronaves para o transporte de imunizantes de uso emergencial para o enfrentamento à pandemia no País. Em coordenação com o Ministério da Defesa e em apoio ao Ministério da Saúde, a FAB realizará o transporte das vacinas  para 12 cidades brasileiras.
	Vacinação		Norte	AM	Manaus
1075	https://operacaocovid19.defesa.gov.br/noticias/noticia/1814	21/01/2021	Logística de guerra: Forças Armadas transportam 386 cilindros de oxigênio para Manaus
 	As Forças Armadas transportaram, nesta madrugada, em caráter de urgência, mais seis cilindros de oxigênio hospitalar para Manaus, no Amazonas. A missão, com logística de guerra, teve início na sexta-feira passada (08) e deve terminar no próximo domingo (17). No total, 386 cilindros de oxigênio deverão ser transportados por aviões C-130 (Hércules), da Força Aérea Brasileira (FAB), para o estado.
	Apoio Logístico		Norte	AM	Manaus
1076	https://operacaocovid19.defesa.gov.br/noticias/noticia/1815	21/01/2021	Forças Armadas transportam 50 toneladas de equipamentos e materiais para montagem de Hospital de Campanha em Manaus
	As Forças Armadas transportarão, entre hoje e amanhã, 50 toneladas de equipamentos e materiais para a montagem de Hospital de Campanha (HCAMP) em Manaus-AM. O Ministério da Defesa atende à solicitação do Governador do Amazonas, Wilson Miranda Lima, que requereu apoio junto ao Comando Conjunto da Amazônia, um dos 10 comandos conjuntos estabelecidos em todo o país pela Operação Covid-19.
 
	Apoio Logístico		Norte	AM	Manaus
1077	https://operacaocovid19.defesa.gov.br/noticias/noticia/1816	21/01/2021	Forças Armadas trabalham incansavelmente em apoio ao Amazonas
	A madrugada de sexta-feira (15) e o dia de sábado (16) foram de intenso trabalho para as Forças Armadas. No contexto da Operação Covid-19, os militares trabalham diuturnamente em apoio a Manaus, no Amazonas.Em coordenação com o Ministério da Saúde e com o Governo estadual, o Ministério da Defesa, por meio das Forças Singulares, permanece prestando apoio ininterrupto à capital amazonense, com o apoio logístico para minimizar os impactos no sistema de saúde daquele estado. São transportados cilindros de oxigênio, respiradores material para montagemde hospital de campanha e de uma usina de oxigênio. E, ainda, seguem com a remoção de pacientes de Manaus para outros estados.
 
	Apoio Logístico		Norte	AM	Manaus
1078	https://operacaocovid19.defesa.gov.br/noticias/noticia/1817	21/01/2021	Forças Armadas transportam 168 toneladas de carga e realizam 314 horas de voo em 10 dias de missão em Manaus
	As Forças Armadas não têm medido esforços para minimizar os efeitos da pandemia de Covid-19 no estado do Amazonas e, em especial, na capital Manaus. Passados dez dias que o Governador Wilson Miranda Lima solicitou apoio ao Ministério da Defesa (MD), os números são impressionantes.
 
	Apoio Logístico		Norte	AM	Manaus
1079	https://operacaocovid19.defesa.gov.br/noticias/noticia/1818	21/01/2021	Defesa inicia distribuição de vacinas contra a Covid-19 para 11 capitais nesta segunda-feira
 	O Ministério da Defesa (MD), por meio da Força Aérea Brasileira (FAB), começou a distribuir, nesta segunda-feira (18), as vacinas contra a Covid-19 para 11 capitais e o município de Tabatinga, no Amazonas. Hoje os aviões da FAB devem transportar 22 toneladas de carga, o que corresponde à 132 m³. Isso representa 1/3 de todo esforço logístico previsto para o abastecimento dos estados com a vacina contra o Coronavírus.
 	Vacinação		Norte	AM	Tabatinga
1080	https://operacaocovid19.defesa.gov.br/noticias/noticia/1819	21/01/2021	Capital do País recebe vacinas contra Covid-19 transportadas pela FAB
	Às 14h42, desta segunda-feira (18), uma aeronave C-130 Hércules, da Força Aérea Brasileira (FAB), pousou na capital federal com uma carga preciosa, as vacinas do Instituto Butantan. O voo procedente de Guarulhos, em São Paulo, trouxe a bordo 45 caixas térmicas com o imunizante.	Vacinação		Centro-Oeste	DF	Brasília
1081	https://operacaocovid19.defesa.gov.br/noticias/noticia/1820	21/01/2021	Forças Armadas distribuem pelo País lotes de vacinas contra a Covid-19, em apoio ao Ministério da Saúde
	A esperança chega por aviões da Força Aérea Brasileira, a FAB. Nesta terça-feira (19), 10 mil doses de vacinas contra o novo coronavírus estão a caminho de Tabatinga, município do Amazonas. Esse lote, que em grande parte imunizará indígenas, integra a carga para atender a Região Norte, e seguiu a bordo do cargueiro Hércules C-130, na segunda-feira (18). A aeronave partiu de Brasília e pousou na capital amazonense.
 
 	Vacinação		Norte	AM	Tabatinga
1082	https://operacaocovid19.defesa.gov.br/noticias/noticia/1821	21/01/2021	Forças Armadas concluem, com 24h de antecedência, distribuição da vacina
	As Forças Armadas concluíram, nesta terça-feira (19), com um dia de antecedência em relação planejamento inicial, a distribuição da vacina contra o novo coronavírus.
 
	Vacinação		Norte	AM	Tabatinga
1083	https://operacaocovid19.defesa.gov.br/noticias/noticia/1822	21/01/2021	Forças Armadas apoiam Ministério da Saúde na vacinação da comunidade indígena Umariaçu I, no Amazonas
 	Nesta terça-feira (19), aeronave C-97 da Força Aérea Brasileira transportou 10 mil doses de vacinas coronavac do Instituto Butantã, até Tabatinga, município localizado no oeste do Amazonas. Do total de vacinas entregues nesse município, mil foram destinadas à comunidade indígena Umariaçu I, de etnia ticuna. O 8º Batalhão de Infantaria de Selva (8º BIS) apoiou o Ministério da Saúde no transporte de vacinas até o Polo Base da aldeia, unidade de saúde da Secretaria Especial de Saúde Indígena (SESAI).
 
	Vacinação		Norte	AM	Tabatinga
1084	https://operacaocovid19.defesa.gov.br/noticias/noticia/1823	21/01/2021	Jornalistas acompanham distribuição de vacinas e vacinação em terras indígenas do Amazonas a convite da Defesa
	Eram 11h da segunda-feira (18), quando a viagem de imprensa foi confirmada. Os jornalistas tiveram pouco mais de 2h para reagir ao convite do Ministério da Defesa. Todos precisavam estar às 13h na Ala 1 (Base Aérea de Brasília) para embarcar rumo ao estado do Amazonas. Era a 20ª ação interministerial entre Defesa e Saúde, sendo a 17ª missão em aldeias indígenas, desde o primeiro semestre do ano passado para cá.
 
	Indígena	Umariaçu	Norte	AM	Tabatinga
1085	https://operacaocovid19.defesa.gov.br/noticias/noticia/1824	21/01/2021	Forças Armadas somam cerca de 20 horas por dia em voos de apoio ao Amazonas
	Em 13 dias, os militares das Forças Armadas cruzaram os céus do Brasil, em média 20 horas por dia, para atender às necessidades do Estado do Amazonas, no contexto da Operação Covid-19. Desde 07 de janeiro, foram 45 viagens que somam 267 horas para levar apoio logístico ao estado da Região Norte e transferir 121 pacientes a hospitais de outras unidades da Federação.
 
	Apoio Logístico		Norte	AM	Manaus
1086	https://operacaocovid19.defesa.gov.br/noticias/noticia/1825	27/01/2021	Forças Armadas completam 14 dias de apoio ao Amazonas
	As Forças Armadas completam 14 dias atendendo o Estado do Amazonas, no contexto da Operação Covid-19, com total de 54 voos entre apoio logístico e remoção de pacientes. Até o momento, em 15 voos os militares transportaram 156 pacientes para unidades de saúde de outros estados. As transferências dos doentes iniciaram em 15 de janeiro e contam com acompanhamento de profissionais de saúde.
 
	Apoio Logístico		Norte	AM	Manaus
1087	https://operacaocovid19.defesa.gov.br/noticias/noticia/1826	27/01/2021	Operação Covid-19 completa 10 meses de atividades para salvar vidas
	Em 10 meses da Operação Covid-19, as Forças Armadas trabalham incansavelmente em apoio às ações do Governo Federal de combate ao novo coronavírus. A missão demanda grande logística, semelhante a operações de guerra, tanto mobilizou até 34 mil militares. As atividades iniciaram em 20 de março do ano passado.
 
	Apoio Logístico		Norte	AM	Manaus
1088	https://operacaocovid19.defesa.gov.br/noticias/noticia/1827	27/01/2021	Logística precisa assegura vacinação em terras indígenas
	Duas senhoras indígenas enfrentaram a forte chuva, protegidas apenas por um retalho de lona, para receber a vacina contra o novo coronavírus, no Polo Base Umariaçu I. Elas moram ali mesmo, e só precisaram caminhar cerca de 200 metros até as tendas montadas por militares do Exército para receber o imunizante. O que pode parecer facilidade de acesso, na verdade envolveu detalhada operação de logística para que as doses da vacina chegassem até quase a porta dos moradores da longínqua aldeia Umariaçu I, no Alto Solimões, na região do município de Tabatinga, no Amazonas.
 
	Indígena	Umariaçu I	Norte	AM	Tabatinga
1089	https://operacaocovid19.defesa.gov.br/noticias/noticia/1828	27/01/2021	Forças Armadas transferem 13 pacientes de Porto Velho para Curitiba
	Nesta segunda-feira (25), as Forças Armadas transportaram 13 pacientes e profissionais de saúde de Porto Velho, Rondônia, para Curitiba, Paraná. A remoção foi feita por meio de uma aeronave C-105 da Força Aérea Brasileira e acontece no contexto da Operação Covid-19.
	Apoio de Saúde		Norte	RO	Porto Velho
1090	https://operacaocovid19.defesa.gov.br/noticias/noticia/1829	27/01/2021	Militares transportaram 291 pacientes do Amazonas para outros estados
	No contexto da Operação Covid-19, as Forças Armadas transportaram, entre os dias 07 e 25 de janeiro, 291 pessoas diagnosticadas com o coronavírus. Os pacientes seguiram do estado do Amazonas com destino ao Piauí, Maranhão, Paraíba, Rio Grande do Norte, Goiás, Distrito Federal, Pará, Espírito Santo, Alagoas, Pernambuco e Minas Gerais.
	Apoio de Saúde		Norte	AM	Parintins
1091	https://operacaocovid19.defesa.gov.br/noticias/noticia/1830	27/01/2021	Marinha transporta tanque de oxigênio para atender hospitais de Manaus
	Nesta terça-feira (26), o Navio-Patrulha Oceânico Apa, da Marinha do Brasil, atracou em Barbacena, no Pará, com um tanque de 54 toneladas, que será envasado com 90 mil m3 de oxigênio líquido para abastecer hospitais na cidade de Manaus (AM). O município enfrenta colapso no sistema de saúde, em função do agravamento da pandemia no novo coronavírus naquele estado. A atividade faz parte da Operação Covid-19, promovida pelo Ministério da Defesa, para mitigar as consequências da Covid- 19.
	Apoio Logístico		Norte	AM	Manaus
1092	https://operacaocovid19.defesa.gov.br/noticias/noticia/1831	27/01/2021	Comando Conjunto RN-PB descontamina aeronaves que transportaram pacientes de Manaus (AM) com Covid-19
	Os pacientes desembarcaram durante a madrugada no Aeroporto Internacional de João Pessoa e Base Aérea de Natal, sendo transferidos para hospitais nas capitais paraibana e potiguar.
 
	Apoio de Saúde		Norte	AM	Manaus
1093	https://operacaocovid19.defesa.gov.br/noticias/noticia/1832	27/01/2021	Navio-Patrulha Oceânico “Apa” presta apoio logístico para transporte de oxigênio a Manaus (AM)
	O Navio-Patrulha Oceânico “Apa”, subordinado ao Comando do Grupamento de Patrulha Naval do Sudeste, partiu de Santos (SP), na noite de ontem (19), com um tanque de 54 toneladas para Belém (PA), onde será envasado com 90 mil m³ de oxigênio líquido e seguirá, via transporte fluvial por balsa, até Manaus (AM).
 
	Apoio Logístico		Norte	PA	Belém
1094	https://operacaocovid19.defesa.gov.br/noticias/noticia/1833	27/01/2021	Comando Conjunto RN-PB realiza desinfecção de aeronave que transportou pacientes com Covid-19 para Natal (RN)
	O Comando Conjunto Rio Grande do Norte e Paraíba realizou, no dia 20 de janeiro, a descontaminação da aeronave da Força Aérea Brasileira (FAB) que transportou pacientes com Covid-19 de Manaus (AM) para Natal (RN).	Higienização		Norte	RN	Natal
1095	https://operacaocovid19.defesa.gov.br/noticias/noticia/1834	27/01/2021	FAB já transportou 126 pacientes de Manaus (AM) para outras seis cidades
